S.No,Software Name,Software link,One line discription,Software paid or not (Y/N),Reference (journel or publication name),Name of Person,Additional Remarks
847,SplicingCompass,http://www.ichip.de/software/SplicingCompass.html,Differential splicing detection using RNA-Seq data.,free,,pragya,
848,SplicingTypesAnno,http://sourceforge.net/projects/splicingtypes/,"A user-friendly R package, extracting, annotating and analyzing alternative splicing types for sequence alignment files from RNA-Seq.",free,,pragya,
849,SplicingViewer,http://bioinformatics.zj.cn/splicingviewer/,"Developed for unambiguous detection, annotation and visualization of splice junctions and alternative splicing events from RNA-Seq data.",free,,pragya,
850,SpliCQ,http://splicq.sourceforge.net/,A Java software package which allows for the identification of splicing events and differentially expressed isoforms in next generation sequencing data.,free,,pragya,
851,SUPPA,https://bitbucket.org/regulatorygenomicsupf/suppa,"A computational pipeline to calculate relative inclusion values of alternative splicing events, exploiting fast transcript quantification of a known annotation",free and open source,,pragya,
852,SwitchSeq,https://github.com/mgonzalezporta/SwitchSeq,"A tool to identify, annotate and visualise splicing switch events from RNA-seq data.",free and open source,,pragya,"By relying on transcript level quantifications, SwitchSeq provides a simple (yet powerful) approach to identify, annotate and visualise the most extreme changes in splicing across two different conditions, namely switch events."
853,REDItools,https://code.google.com/p/reditools/,A suite of python scripts to perform high-throughput investigation of RNA editing using next-generation sequencing data.,free,,pragya,
854,Alternative Applications for distinct RNA sequencing strategies,http://omictools.com/alternative-applications-for-distinct-rna-sequencing-strategies-s6645.html,,,http://www.ncbi.nlm.nih.gov/pubmed/25246237,pragya,
855,Virtual cell,http://vcell.org/login/login.html,"The Virtual Cell has been specifically designed to be a web-based research tool for a wide range of scientists, from experimental cell biologists to theoretical biophysicists. Likewise the creation of models can range from the simple, to evaluate hypotheses or to interpret experimental data, to complex multi-layered models used to probe the predicted behavior of complex, highly non-linear systems. Users can build complex models with a web-based Java interface to specify compartmental topology and geometry, molecular characteristics, and relevant interaction parameters. The Virtual Cell automatically converts the biological description into a corresponding mathematical system of ordinary and/or partial differential equations.",free,,kapil,
856,Virtual FRAP Tool,http://wiki.vcell.uchc.edu/twiki5/bin/view/VCell/VFRAP,"The Virtual FRAP tool  is  designed to analyze FRAP, Fluorescence Recovery after Photobleaching, experiments. It is available as a tool within the VCell software, and can be used to analyze experiments that collect all of the fluorescence associated with the cell, and where the bleach region does not vary through the Z dimension. Currently, Virtual FRAP can be used to fit D and %R for either one or two diffusing components of cytosolic (soluble) proteins, or to fit off rates for binding to immobile components. It does not analyze lateral diffusion within the plasma membrane.",free,,kapil,
857,BioNetGen,http://vcell.org/bionetgen,"Cellular signaling events are frequently mediated by protein-protein interactions via motifs, domains and subunits. Combined with the vast number of possible post translational modifications, the number of possible protein-protein configurations are sufficiently large to be considered combinatorically complex. Rule-based models of biochemical systems- including signal transduction, metabolic, and genetic regulatory networks- is the approach used by BioNetGen for the specification and simulation of such systems. Rule-based models allow the biologist and modeler to generate complex networks that emerge from the logical consequences of knowledge and assumptions about the mechanistic details.",free,,kapil,
858,Microfilament Detector,http://wiki.vcell.uchc.edu/twiki5/bin/view/VCell/MicroFilaments%20 ,"Gfit is an open-access software tool for performing global analysis of large, heterogenous data sets. Global analysis performs simultaneous regression analysis for mutliple parameters in the biological system. The tools allows for researchers to rapidly evaluate the system model in relation to experimental data where the numerous data sets act to constrain the possible values obtained through global fitting. This tool and approach has been used successfully with Fluorescence Correlation Spectroscopy data and Surface Plasmon Resonance to study nuclear transport, transciption and DNA-protein interactions.",free,,kapil,
859,SyBil/SBPax,http://vcell.org/biopax/,"Sybil is short for Systems Biology Linker. It is a software currently able to load, analyze and display BioPAX data. Biological pathways, reaction and signaling networks are made publicly availabel in formats standardized to the Biological Pathway eXchange format (BioPAX). Simulation tools for biological pathways are standardized to other Markup languages such as Systems Biology Markup Language (SBML) and Virtual Cell Markup Language (VCML). To take full advantage of scientific advances requires the mapping and integration of simulation markup languages with BioPAX. Sybil is developed to convert models between BioPAX and SBML/VCML and builds an SBML-BioPAX joint repository using SBPAX",free,,kapil,
860,5D Visualization MicroApp,http://www.ccam.uchc.edu/research/apps/QuickTime_PluginsMultiMod.jar ,"This ImageJ plugin overlays separate grayscale 4D movies into a combined 5D display. This allows comparison of separate 4D microscopy recordings, combination of different microscopy channels, or overlay of microscopy and model data in 4 dimensions. Specifically, the 5D Visualization MicroApp overlays and navigates multiple QuickTime or QuickTimeVR Object movies in a single HyperStack window, with complete freedom to select and adjust lookup tables for display of each channel.",free,,kapil,
861,DELILA,http://schneider.ncifcrf.gov/delila.html,contains tools for sequence manipulation and other tasks.,free,,kapil,
862,DISTMAT,http://www.ceh.ac.uk/products/software/distmat/download.asp,"A program that calculates confidence limits for regression relationships between distance matrices (e.g. genetic, environmental or geographic distance).",free,,kapil,
863,MANTIME,http://www.ceh.ac.uk/products/software/mantime/download.asp,A program for detecting spatial variation in population genetics.,free,,kapil,
864,CryoTrackIMS,http://www.cryotrack.com/,"CryoTrackIMS is a complete software package - ideal for molecular biology, cell banks, cellular biology, clinical samples, biorepository, biobanking, biochemistry, immunology and protein labs, high-throughput screening, QA, IVF labs and core labs and facilities.",free,,kapil,
865,Rezare systems,,"At Rezare Systems, a core expertise is turning the mathematical models of biological systems developed by scientists into cohesive, useable and useful software. We consider that a good model that responds sensibly to changes in inputs is a fantastic tool for visualising and understanding complex systems.",free,,kapil,
866,Biana,,a software framework that gathers known biological data and is able to infer new interactions.,free,,kapil,
867,Gene Coder,http://www.algosome.com/gene-coder/gene-coder.html,GeneCoder is a comprehensive and customizable Molecular Biology Software package for use in molecular cloning and sequence analysis of DNA and protein sequences.,"free for non-commercial, scientific use.",,Dhiraj,
868,Bifido Punnet Square Calculator,http://www.bifidosoft.com/,"We represent interesting and unique product in biology education and science, specifically in genetics - Bifido Punnett Square Calculator. This is useful and fast genetic calculator for predicting the offspring results of genetic crosses.",,,,
869,Cytoscape,http://cytoscape.org/,The PLOS Computational Biology Software Section was launched in 2011 and has been steadily gathering momentum since its beginnings.,,,,
870,XPlasMap,http://www.iayork.com/XPlasMap/index.shtml,"XPlasMap is a DNA mapping program for MacOS 10.4 or higher. It draws plasmid or linear DNA maps, showing features such as genes, multiple cloning sites, and restriction sites.",,,,
871,Enzyme X,http://nucleobytes.com/index.php/enzymex,EnzymeX helps molecular biologists to determine which restriction enzymes they should use to cut their DNA of interest.,,,,
872,DNA Aid,http://www.cellbiol.com/mac_software_files/dnaid.hqx,"it is a very usefull application that allows to perform all the basic manipulations of DNA sequences such as restriction mapping, translation, reverse-complement and others.",,,,
873,4Peaks,http://nucleobytes.com/index.php/4peaks,4Peaks is a program that help molecular biologists to visualize and edit their DNA sequence files.,,,,
874,DNA Strider,http://www.cellbiol.com/mac_software_files/DNAStrider1_1_sit.bin,A bit dated but still great full featured sequence manipulation application for the mac. Freeware.,,,,
875,Bio-Linux,http://nebc.nerc.ac.uk/tools/bio-linux,"Bio-Linux is a fully featured, powerful, configurable and easy to maintain bioinformatics workstation.",,,,
876,BioPuppy,http://biopuppy.org/,BioPuppy is an minimal Linux OS and electronic workbench for bio-informatics and computational biology.,,,,
877,EMBOSS,http://emboss.sourceforge.net/,"EMBOSS is ""The European Molecular Biology Open Software Suite"". EMBOSS is a free Open Source software analysis package specially developed for the needs of the molecular biology (e.g. EMBnet) user community.",,,,
878,CLC Sequence Viewer,http://www.clcbio.com/products/clc-sequence-viewer/,"CLC Sequence Viewer creates a software environment enabling users to make a large number of bioinformatics analyses, combined with smooth data management, and excellent graphical viewing and output options. The software package is a community edition, available for Windows, Mac OS X, and Linux.",,,,
879,Gene Designer 2.0,https://www.dna20.com/genedesigner2/,Gene Designer 2.0 encompasses a complete and visually rich set of tools to bring your creative ideas to completion,,,,
880,Gene Palette,http://www.genepalette.org/GenePalette/Home.html,GenePalette is a powerful cross-platform and cross-species desktop application for genome sequence visualization and navigation,,,,
